epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.21387025713920593	0.04385216534137726	0.21348185344490764	0.18993286788463593	0.07881492376327515	0.20070990936011152
20.0	0.27561521530151367	0.06082132086157799	0.28729022398117376	0.23646531999111176	0.10423478484153748	0.262059854346387
30.0	0.2823266386985779	0.06292923539876938	0.29737520773638293	0.24787472188472748	0.10887476801872253	0.2746479984840146
40.0	0.28680089116096497	0.06530508399009705	0.30012035727234754	0.24899329245090485	0.11048895865678787	0.27619426483433523
50.0	0.27740493416786194	0.06148960813879967	0.2925360140082441	0.2434004545211792	0.10893255472183228	0.2710494767248492
60.0	0.27293065190315247	0.06255856156349182	0.28701387585463	0.23982101678848267	0.10805752128362656	0.2666694873982524
70.0	0.2751677930355072	0.06270530074834824	0.28521413535507495	0.23825503885746002	0.10754333436489105	0.2634225617292145
80.0	0.2697986662387848	0.06112420931458473	0.27983095590940776	0.23378075659275055	0.10568661987781525	0.25891388941766147
90.0	0.2626398503780365	0.05949217826128006	0.26947774984346534	0.2302013486623764	0.10371644794940948	0.2519451430501674
100.0	0.2554810047149658	0.057569269090890884	0.2623860055463686	0.22774049639701843	0.10109976679086685	0.24794851004063967
110.0	0.25369128584861755	0.05711941048502922	0.26340146216934623	0.2255033552646637	0.10000835359096527	0.2474847877290485
120.0	0.2460850477218628	0.05574005842208862	0.2502776308438848	0.2234899401664734	0.1001221165060997	0.23990831184871175
130.0	0.24653245508670807	0.0563763864338398	0.2512227632341254	0.215659961104393	0.09572429209947586	0.2343026929415786
140.0	0.24295303225517273	0.05627188831567764	0.24967846245927838	0.21722595393657684	0.09563487023115158	0.2355233394225863
